City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,kapuskasing,49.4169,-82.4331,57.29,24,75,10.36,CA,1683574555
142,okahao,-17.885,15.0667,77.92,27,0,6.67,NA,1683574590
143,taulaga,-11.0553,-171.0883,83.64,74,37,12.71,AS,1683574590
144,el bauga,18.262,33.9081,82.98,13,0,11.25,SD,1683574590
145,port elizabeth,-33.918,25.5701,66.49,96,0,3.44,ZA,1683574591
146,san pedro pochutla,15.7333,-96.4667,93.7,51,27,8.81,MX,1683574591
147,jiexiu,37.0244,111.9125,57.36,52,100,1.97,CN,1683574591
148,puerto ayora,-0.7393,-90.3518,87.76,90,61,7.0,EC,1683574591
149,ebon,4.582,168.6964,83.88,77,100,14.65,MH,1683574591
150,geraldton,-28.7667,114.6,72.01,40,75,20.71,AU,1683574591
151,mek'ele,13.4967,39.4753,63.66,72,100,4.61,ET,1683574592
152,gadzhiyevo,69.2551,33.3362,33.42,97,100,14.65,RU,1683574592
153,dalandzadgad,43.5708,104.425,52.88,62,100,2.01,MN,1683574571
154,lyubashivka,47.8372,30.2598,48.74,62,100,10.74,UA,1683574592
155,coquimbo,-29.9533,-71.3436,60.53,77,20,12.66,CL,1683574365
156,callao,-12.0667,-77.15,75.72,78,100,13.8,PE,1683574512
157,fort bragg,35.139,-79.006,84.15,51,75,11.5,US,1683574593
158,bethel,41.3712,-73.414,75.65,36,0,14.97,US,1683574327
159,kuanda,56.3161,116.0806,35.24,100,100,1.68,RU,1683574593
160,miguel ahumada,30.6167,-106.5167,86.49,6,0,6.29,MX,1683574593
161,bandar lampung,-5.4254,105.258,74.75,93,83,2.89,ID,1683574593
162,corner brook,48.9667,-57.9484,44.76,83,100,5.12,CA,1683574039
163,karliova,39.2983,41.0142,41.95,90,99,2.13,TR,1683574594
164,galesong,-5.3166,119.3661,77.02,90,100,2.59,ID,1683574594
165,pajapan,18.25,-94.7,80.76,48,3,9.42,MX,1683574594
166,fortaleza,-3.7227,-38.5247,86.13,66,20,11.5,BR,1683574392
167,wotho,10.1657,166.0102,80.76,84,100,17.58,MH,1683574596
168,salalah,17.0151,54.0924,82.49,74,0,5.75,OM,1683574596
169,andapa,-14.65,49.65,64.83,99,25,2.86,MG,1683574597
170,fale old settlement,-9.3852,-171.2468,84.24,76,9,13.73,TK,1683574597
